lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05162,-34.94978,-91.56571428571431,-92.50714285714291,-90.15,-69.64,-90.53,-85.34,-92.1783333333333,-95.75399999999999,-97.2725,4,2,4,8355
-8.049380000000001,-34.95304,-82.32,-91.85,-76.38,-85.89,-92.365,-87.89,-91.8966666666667,-96.186,-96.2825,3,4,4,8959
-8.05524,-34.953559999999996,-84.8714285714286,-95.85,-82.77,-93.6157142857143,-87.1175,-91.75857142857141,-70.38,-81.508,-97.0775,6,4,2,7305
-8.05847,-34.94977,-86.99,-92.9457142857143,-87.05,-97.56,-68.8,-81.94285714285719,-94.0333333333333,-85.59,-96.2325,7,4,4,6697
-8.051169999999999,-34.94775,-94.7157142857143,-97.9,-96.98,-78.0,-94.3425,-93.64,-97.8733333333333,-98.57799999999999,-98.9125,4,2,5,8522
-8.05214,-34.94831,-86.64857142857142,-86.9428571428572,-90.14714285714291,-60.34,-77.925,-83.28,-87.57,-92.28399999999999,-97.6,4,2,5,8065
-8.05188,-34.94661,-89.8728571428571,-92.26142857142858,-93.5557142857143,-45.08,-77.96,-86.11142857142859,-92.95,-94.05,-97.6,5,1,6,8225
-8.04865,-34.95062,-85.04,-82.71428571428571,-83.3557142857143,-85.08,-88.34,-83.01,-92.46,-97.49600000000001,-96.7925,3,3,5,9125
-8.05279,-34.94862,-87.78,-89.43857142857142,-89.0457142857143,-68.29,-79.4025,-83.61,-90.5616666666667,-92.866,-97.255,5,2,5,7853
-8.055810000000001,-34.95078,-92.28,-92.15857142857142,-91.6666666666667,-78.08,-72.4,-83.97428571428571,-93.4533333333333,-93.204,-96.3725,6,3,3,6946
-8.05285,-34.95556,-88.77,-96.37285714285721,-96.66,-99.8283333333333,-96.1425,-94.3771428571429,-60.47,-89.016,-94.66,5,5,2,7831
-8.04844,-34.95275,-61.38,-89.26,-73.9342857142857,-88.26,-79.88,-87.2328571428571,-88.76,-100.104,-96.8925,2,4,4,9245
-8.05596,-34.95064,-91.21857142857141,-91.71857142857141,-91.9266666666666,-85.84,-78.46,-81.9542857142857,-92.0233333333333,-92.228,-96.3725,6,3,3,6908
-8.04643,-34.95107,-81.6875,-81.77,-81.7510476190476,-94.35180555555559,-96.6925,-94.0532142857143,-97.01,-100.98,-94.4075,1,4,5,9645
-8.052489999999999,-34.94668,-88.47142857142859,-89.43142857142858,-89.3342857142857,-66.48,-78.55,-83.17142857142859,-90.6333333333333,-91.054,-97.255,5,1,5,7914
-8.05451,-34.95941,-80.83,-100.805714285714,-82.1671428571429,-95.72,-100.225,-87.07142857142858,-74.04333333333331,-89.368,-67.58,6,7,1,7473
-8.0505,-34.9541,-93.8742857142857,-98.4607142857143,-88.5342857142857,-99.6,-97.775,-87.65,-88.5333333333333,-96.5766666666667,-101.82,3,5,3,8690
-8.05055,-34.953590000000005,-79.51,-94.275,-85.33,-95.86,-97.5075,-96.13,-82.93,-98.04799999999999,-98.1,3,4,3,8665
-8.047039999999999,-34.950590000000005,-90.52,-81.1185714285714,-95.33,-93.945,-93.6175,-91.01428571428569,-84.81,-99.03399999999999,-94.4075,2,4,5,9517
-8.05193,-34.946709999999996,-90.2657142857143,-90.25857142857141,-92.4071428571429,-51.47,-80.67,-89.13285714285709,-91.2083333333333,-94.728,-97.6,5,1,6,8190
-8.05328,-34.95398,-93.70142857142858,-96.49857142857141,-84.97,-97.9816666666667,-95.3975,-94.79285714285709,-94.57,-96.198,-96.55,5,4,2,7764
-8.05355,-34.94855,-86.15428571428569,-89.0542857142857,-88.43857142857142,-65.46,-67.915,-78.46,-91.935,-89.384,-97.255,5,2,4,7707
-8.05509,-34.94993,-91.1702857142857,-92.5342857142857,-91.6705952380953,-81.71,-74.21,-82.4,-85.69,-84.86399999999999,-96.3725,6,3,4,7382
-8.051260000000001,-34.95885,-83.9357142857143,-95.00714285714291,-84.6371428571428,-99.26,-96.0175,-91.07142857142858,-90.1316666666667,-98.266,-78.38,5,7,2,8491
-8.05546,-34.953720000000004,-86.78,-96.38,-91.8042857142857,-103.1,-90.1225,-102.73,-82.1766666666667,-81.34,-93.4,6,4,2,7174
-8.051110000000001,-34.94767,-94.7157142857143,-94.1157142857143,-96.70142857142858,-74.77,-97.46,-95.20571428571431,-101.49,-98.57799999999999,-98.9125,4,2,5,8544
-8.0549,-34.95363,-90.52714285714279,-95.3728571428571,-80.26,-98.73,-90.6525,-91.22285714285721,-90.4483333333333,-82.81,-96.49,5,4,2,7406
-8.04905,-34.94705,-96.7028571428571,-85.19857142857141,-90.84,-83.58,-96.4925,-95.59857142857142,-93.29333333333331,-96.51799999999999,-96.3575,4,2,6,9032
-8.04924,-34.94572,-97.2157142857143,-85.77285714285709,-92.9,-68.08,-85.0275,-85.6057142857143,-90.4616666666667,-93.536,-96.3575,4,2,6,8991
-8.05607,-34.95065,-91.21857142857141,-89.22,-91.9266666666666,-91.34,-81.495,-80.05142857142859,-92.54333333333331,-91.63,-96.3725,6,3,3,6892
